"2012-11-01",938.68,1176.76
"2012-11-02",916.63,1126
"2012-11-05",921.01,1135.9
"2012-11-06",938.42,1168.97
"2012-11-07",937.87,1155.36
"2012-11-08",944.45,1176.49
"2012-11-09",947.13,1189.64
"2012-11-12",947.14,1186.85
"2012-11-13",943.81,1185.58
"2012-11-14",946.76,1199.88
"2012-11-15",937.8,1192.39
"2012-11-16",938.24,1181.22
"2012-11-19",949.07,1211.15
"2012-11-20",943.17,1201.8
"2012-11-21",945.74,1217.16
"2012-11-22",945.74,1217.16
"2012-11-23",958.43,1245.09
"2012-11-26",957.45,1245.93
"2012-11-27",953.52,1240.29
"2012-11-28",939.31,1229.23
"2012-11-29",945.16,1253.3
"2012-11-30",935.98,1211.37
"2012-12-03",940.58,1228.85
"2012-12-04",926.76,1194.23
"2012-12-05",925.67,1199.66
"2012-12-06",930.04,1205.38
"2012-12-07",932.07,1206
"2012-12-10",936.94,1214.96
"2012-12-11",934.32,1201.86
"2012-12-12",938.85,1229.71
"2012-12-13",927.33,1177.77
"2012-12-14",927.44,1175.74
"2012-12-17",928.1,1175.05
"2012-12-18",913.07,1152.81
"2012-12-19",911.43,1132.68
"2012-12-20",899.52,1080.34
"2012-12-21",907.28,1099.45
"2012-12-24",906.96,1088.32
"2012-12-25",906.96,1088.32
"2012-12-26",907.61,1093.34
"2012-12-27",909.26,1100.81
"2012-12-28",905,1091.16
"2012-12-31",915.88,1100.34
